accepted_family,accepted_genus,accepted_name,species_name_raw,species_name,iucn,name_matched,overall_score,taxonomic_status,accepted_author,publicacion,colector,herbarios,nombre_comun,registro_dep,regiones_ecologicas,sinampe,herbarios_peruanos,observaciones,autor_from_papers
Acanthaceae,Aphelandra,Aphelandra cuscoensis,"1. Aphelandra cuscoensis Wassh. EN, B1a",Aphelandra cuscoensis,"EN, B1a",Aphelandra cuscoensis,1,Accepted,Wassh.,Phytologia 25(7): 469—470. 1973.,C. Vargas C. 15415,(US),Desconocido.,CU.,BHA; 470—520 m.,PNM,CUZ (1).,"Hierba terrestre conocida solamente del sur del país, de las cuencas del Marcapata y del Madre de Dios. Aparentemente no ha vuelto a ser recolectada desde la década de 1960.",Wassh.
Acanthaceae,Aphelandra,Aphelandra hapala,"2. Aphelandra hapala Wassh. CR, B1a",Aphelandra hapala,"CR, B1a",Aphelandra hapala,1,Accepted,Wassh.,Phytologia 25(7): 466—467. 1973.,R. Ferreyra 1670 (US),NA,Desconocido.,UC.,BMHM; 1600— 1800 m.,Sin registro.,Ninguno.,"Hierba terrestre conocida aparentemente de la colección tipo, una planta recolectada en 1947 de la cuenca del Aguaytía. Podría estar representada en el Parque Nacional Cordillera Azul.",Wassh.
Acanthaceae,Aphelandra,Aphelandra juninensis,"3. Aphelandra juninensis Wassh. CR, B1ab(iii)",Aphelandra juninensis,"CR, B1abiii",Aphelandra juninensis,1,Accepted,Wassh.,Phytologia 25(7): 471—472. 1973.,A. Weberbauer 6537 (F; MOL!),NA,Desconocido.,JU.,MA; 2000—3000 m.,Sin registro.,MOL (isotipo).,"Arbusto conocido solamente de la colección tipo, una planta recolectada en 1913 en la cuenca del Pariahuanca, un tributario del Mantaro. Weberbauer (1945) describe esta zona como un ambiente ecotonal de matorrales y bosques de ceja en quebradas húmedas. Esta zona requiere de exploración y estudio botánico.",Wassh.
Acanthaceae,Aphelandra,Aphelandra latibracteata,"4. Aphelandra latibracteata Wassh. VU, B1a",Aphelandra latibracteata,"VU, B1a",Aphelandra latibracteata,1,Accepted,Wassh.,Phytologia 25(7): 468—469. 1973.,R. Ferreyra 1908 (US),NA,Desconocido.,"HU, LO, SM, UC.","BMHP, BHA; 200—800 m.",Sin registro.,USM (2).,"Arbusto recolectado en varias localidades de las cuencas del Pachitea, Ucayali y Amazonas. Una de las localidades recolectadas está deteriorada por la expansión urbana y rural; esta tendencia se observa para las otras localidades.",Wassh.
Acanthaceae,Aphelandra,Aphelandra viscosa,"5. Aphelandra viscosa Mildbr. EN, B1a",Aphelandra viscosa,"EN, B1a",Aphelandra viscosa,1,Accepted,Mildbr.,Repert. Spec. Nov. Regni Veg. 11: 66. 1930.,A. Raimondi 7133,(B),Desconocido.,"CA, LL.",MA; 1950—2700 m.,Sin registro.,"HAO (2), HUT (2).",Esta especie leñosa es conocida de poblaciones en las vertientes del Pacífico del norte del país. Sus poblaciones están naturalmente fragmentadas en las cuencas del Chicama y Magdalena.,Mildbr.
Acanthaceae,Aphelandra,Aphelandra weberbaueri,"6. Aphelandra weberbaueri Mildbr. EN, B1a",Aphelandra weberbaueri,"EN, B1a",Aphelandra weberbaueri,1,Accepted,Mildbr.,Notizbl. Bot. Gart. Berlin- Dahlem 11: 67. 1930.,A. Weberbauer 6657 (B; MOL!),NA,Desconocido.,JU.,"BMHM, BMHP; 1000—1700 m.",Sin registro.,MOL (isotipo).,"Esta especie arbustiva es conocida solamente del centro del país de las cuencas del Tulumayo y Masamerich, afluentes del Perené. Aparentemente no ha vuelto a ser recolectada de la localidad original, un área escasamente herborizada y afectada por la expansión agrícola.",Mildbr.
Acanthaceae,Cephalacanthus,Cephalacanthus maculatus,"7. Cephalacanthus maculatus Lindau CR, B1ab(iii)",Cephalacanthus maculatus,"CR, B1abiii",Cephalacanthus maculatus,1,Accepted,Lindau,Repert. Spec. Nov. Regni Veg. 1: 158. 1905.,A. Weberbauer 4647 (B; MOL!),NA,Desconocido.,SM.,BMHP; 1400 m.,Sin registro.,MOL (isotipo).,"Esta especie es conocida solamente de la colección tipo, una planta recolectada en 1904 en la cuenca del Mayo. Podría estar representada en el Bosque de Protección del Alto Mayo. Esta cuenca está siendo modificada para acomodar la ampliación agrícola.",Lindau
Acanthaceae,Dicliptera,Dicliptera porphyrea,"8. Dicliptera porphyrea Lindau EN, B1ab(iii)",Dicliptera porphyrea,"EN, B1abiii",Dicliptera porphyrea,1,Accepted,Lindau,"Bull. Herb. Boissier, ser. 2, 5(4): 368—369. 1905.",A. Weberbauer 2676 (B; MOL!),NA,Desconocido.,"AN, AY, HV.",MA; 3200—3400 m.,Sin registro.,MOL (isotipo).,Esta especie es conocida solamente de cuencas que drenan al Pacífico. Esta especie podría estar afectada por los incendios intencionales.,Lindau
Acanthaceae,Dicliptera,Dicliptera rauhii,"9. Dicliptera rauhii Wassh. CR, B1ab(iii)",Dicliptera rauhii,"CR, B1abiii",Dicliptera rauhii,1,Accepted,Wassh.,Beitr. Biol. Pflanzen 63: 425. 1988.,W. Rauh & C. Hirsch P. P804,(HEID),Desconocido.,CU.,BMHM; 2500 m.,SHMP,Ninguno.,"Esta hierba terrestre es conocida aparentemente sólo de la colección tipo, una planta recolectada en 1954 en la cuenca del Urubamba. Esta especie podría estar afectada por los incendios intencionales fuera del Santuario que se extienden a este.",Wassh.
Acanthaceae,Justicia,Justicia manserichensis,"10. Justicia manserichensis Wassh. EN, B1ab(iii)",Justicia manserichensis,"EN, B1abiii",Justicia manserichensis,1,Accepted,Wassh.,"BioLlania, Ed. Especial 6: 545—546, f. 2. 1997.",J.J. Wurdack 2284 (US; USM!),NA,Desconocido.,AM.,BHA; 240—450 m.,ZRSC,"HUT (4), USM (isotipo+9).",Esta especie herbácea es conocida de las cuencas del Santiago y Cenepa. La colección tipo proviene de la Cordillera de Campanquiz en el límite entre los departamentos de Amazonas y Loreto. Esta cordillera aislada ha sido escasamente herborizada. Amenazas a sus poblaciones provienen de la expansión agrícola.,Wassh.
