accepted_family,accepted_genus,accepted_name,region_id,region_eco
Acanthaceae,Aphelandra,Aphelandra cuscoensis,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Aphelandra,Aphelandra hapala,BMHM,Bosques Muy Húmedos Montanos
Acanthaceae,Aphelandra,Aphelandra juninensis,MA,Mesoandina
Acanthaceae,Aphelandra,Aphelandra latibracteata,BMHP,Bosques Muy Húmedos Premontanos
Acanthaceae,Aphelandra,Aphelandra latibracteata,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Aphelandra,Aphelandra viscosa,MA,Mesoandina
Acanthaceae,Aphelandra,Aphelandra weberbaueri,BMHM,Bosques Muy Húmedos Montanos
Acanthaceae,Aphelandra,Aphelandra weberbaueri,BMHP,Bosques Muy Húmedos Premontanos
Acanthaceae,Cephalacanthus,Cephalacanthus maculatus,BMHP,Bosques Muy Húmedos Premontanos
Acanthaceae,Dicliptera,Dicliptera porphyrea,MA,Mesoandina
Acanthaceae,Dicliptera,Dicliptera rauhii,BMHM,Bosques Muy Húmedos Montanos
Acanthaceae,Justicia,Justicia manserichensis,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Justicia,Justicia elegantissima,BMHM,Bosques Muy Húmedos Montanos
Acanthaceae,Justicia,Justicia loretensis,BMHP,Bosques Muy Húmedos Premontanos
Acanthaceae,Justicia,Justicia weberbaueri,MA,Mesoandina
Acanthaceae,Justicia,Justicia weberbaueri,BS,Bosques Secos
Acanthaceae,Justicia,Justicia alpina,MA,Mesoandina
Acanthaceae,Justicia,Justicia alpina,BMHM,Bosques Muy Húmedos Montanos
Acanthaceae,Mendoncia,Mendoncia peruviana,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Mendoncia,Mendoncia tarapotana,BMHP,Bosques Muy Húmedos Premontanos
Acanthaceae,Mendoncia,Mendoncia tarapotana,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Odontophyllum,Odontophyllum cuscoensis,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Oplonia,Oplonia hutchisonii,BHA,Bosques Húmedos Amazónicos
Acanthaceae,Orophochilus,Orophochilus stipulaceus,BMHP,Bosques Muy Húmedos Premontanos
