accepted_name,registro_dep
Aphelandra cuscoensis,Cusco
Aphelandra hapala,Ucayali
Aphelandra juninensis,Junín
Aphelandra latibracteata,Huánuco
Aphelandra latibracteata,Loreto
Aphelandra latibracteata,San Martín
Aphelandra latibracteata,Ucayali
Aphelandra viscosa,Cajamarca
Aphelandra viscosa,La Libertad
Aphelandra weberbaueri,Junín
Cephalacanthus maculatus,San Martín
Dicliptera porphyrea,Áncash
Dicliptera porphyrea,Ayacucho
Dicliptera porphyrea,Huancavelica
Dicliptera rauhii,Cusco
Justicia manserichensis,Amazonas
Justicia elegantissima,San Martín
Justicia loretensis,San Martín
Justicia weberbaueri,Junín
Justicia weberbaueri,Pasco
Justicia alpina,Cajamarca
Justicia alpina,Cusco
Mendoncia peruviana,Pasco
Mendoncia tarapotana,Loreto
Mendoncia tarapotana,San Martín
Odontophyllum cuscoensis,Cusco
Oplonia hutchisonii,Amazonas
Orophochilus stipulaceus,San Martín
Pachystachys killipii,Pasco
Pachystachys incarnata,Loreto
Pachystachys longibracteata,Loreto
Pachystachys puberula,San Martín
Pachystachys schunkei,San Martín
Pachystachys fosteri,Huánuco
Ruellia rauhii,Cusco
Sanchezia tarapotensis,Amazonas
Sanchezia tarapotensis,San Martín
Sanchezia villosa,San Martín
Sanchezia wurdackii,Amazonas
Sanchezia wurdackii,San Martín
Sanchezia sanmartinensis,San Martín
Sanchezia filamentosa,Huánuco
Sanchezia filamentosa,San Martín
Sanchezia capitata,Junín
Sanchezia capitata,Pasco
Sanchezia bicolor,Ucayali
Sanchezia williamsii,San Martín
Streblacanthus amoenus,Ayacucho
Streblacanthus amoenus,Cusco
Streblacanthus amoenus,Huánuco
Streblacanthus amoenus,Junín
Streblacanthus amoenus,Loreto
Streblacanthus amoenus,San Martín
Suessenguthia vargasii var. hirsuta,Madre de Dios
Tetramerium denudatum,La Libertad
Tetramerium peruvianum,Amazonas
Tetramerium peruvianum,Cajamarca
Tetramerium peruvianum,La Libertad
Tetramerium peruvianum,Piura
Tetramerium sagasteguianum,Cajamarca
Tetramerium sagasteguianum,La Libertad
Tetramerium sagasteguianum,Piura
Tetramerium surcubambense,Huancavelica
Tetramerium zeta,Amazonas
Tetramerium zeta,Cajamarca
Trichosanchezia chrysothrix,Amazonas
Saurauia briquetii,Junín
Saurauia loeseneriana,Cajamarca
Saurauia loeseneriana,San Martín
Saurauia solitaria,La Libertad
Bomarea albimontana,Áncash
Bomarea albimontana,Cajamarca
Bomarea alstroemeroides,Amazonas
Bomarea alstroemeroides,La Libertad
Bomarea alstroemeroides,San Martín
Bomarea ampayesana,Apurímac
Bomarea ampayesana,Cusco
Bomarea angustissima,Huánuco
Bomarea bracteata,Áncash
Bomarea bracteata,Junín
Bomarea campylophylla,Huánuco
Bomarea coccinea,Junín
Bomarea coccinea,Pasco
Bomarea cordifolia,Huánuco
Bomarea cordifolia,Pasco
Bomarea cornigera,Junín
Bomarea crinita,Amazonas
Bomarea denticulata,Huánuco
Bomarea dispar,Huánuco
Bomarea dispar,Pasco
Bomarea dispar,San Martín
